raw_symbol,instrument_id,date
ETHM3-ETHU3,13479,2023-08-31
ETHM3-ETHU3,13479,2023-09-01
ETHM3-ETHU3,13479,2023-09-02
ETHM3-ETHU3,13479,2023-09-03
ETHM3-ETHU3,13479,2023-09-04
ETHM3-ETHU3,13479,2023-09-05
ETHM3-ETHU3,13479,2023-09-06
ETHM3-ETHU3,13479,2023-09-07
ETHM3-ETHU3,13479,2023-09-08
ETHM3-ETHU3,13479,2023-09-09
ETHM3-ETHU3,13479,2023-09-10
ETHM3-ETHU3,13479,2023-09-11
ETHM3-ETHU3,13479,2023-09-12
ETHM3-ETHU3,13479,2023-09-13
ETHM3-ETHU3,13479,2023-09-14
ETHM3-ETHU3,13479,2023-09-15
ETHM3-ETHU3,13479,2023-09-16
ETHM3-ETHU3,13479,2023-09-17
ETHM3-ETHU3,13479,2023-09-18
ETHM3-ETHU3,13479,2023-09-19
ETHM3-ETHU3,13479,2023-09-20
ETHM3-ETHU3,13479,2023-09-21
ETHM3-ETHU3,13479,2023-09-22
ETHM3-ETHU3,13479,2023-09-23
ETHM3-ETHU3,13479,2023-09-24
ETHM3-ETHU3,13479,2023-09-25
ETHM3-ETHU3,13479,2023-09-26
ETHM3-ETHU3,13479,2023-09-27
ETHM3-ETHU3,13479,2023-09-28
ETHM3-ETHU3,13479,2023-09-29
ETHM3-ETHU3,13479,2023-09-30
ETHM3-ETHU3,13479,2023-10-01
ETHM3-ETHU3,13479,2023-10-02
ETHM3-ETHU3,13479,2023-10-03
ETHM3-ETHU3,13479,2023-10-04
ETHM3-ETHU3,13479,2023-10-05
ETHM3-ETHU3,13479,2023-10-06
ETHM3-ETHU3,13479,2023-10-07
ETHM3-ETHU3,13479,2023-10-08
ETHM3-ETHU3,13479,2023-10-09
ETHM3-ETHU3,13479,2023-10-10
ETHM3-ETHU3,13479,2023-10-11
ETHM3-ETHU3,13479,2023-10-12
ETHM3-ETHU3,13479,2023-10-13
ETHM3-ETHU3,13479,2023-10-14
